object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date
59-24/27,Village with Mountains in Background,Qing dynasty (1644-1911),"Painting, Qing dynasty (1644-1911)",Album leaf; color and ink on paper,"Likemanyofhiscontemporaries,GuJianlong,learnedlandscapestylesfromoldmasters,ratherthandirectlydepictingscenesfromnature.Thesetwosketchesfollowtheearlymasters'methodofdepictinglandscapesinmineralblueandgreen,yettheyrevealahighlevelofskillinthehandlingoftheinkandcolorwashesandbrushstrokes.",Overall: 14 1/2 x 11 1/2 inches (36.83 x 29.21 cm),The Nelson-Atkins Museum of Art,"Kansas City, United States",https://art.nelson-atkins.org/objects/130/village-with-mountains-in-background;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=0,https://art.nelson-atkins.org/internal/media/dispatcher/34328/full,images\nelson-atkins\0.jpg,Purchase: William Rockhill Nelson Trust,59-24/27,2026-05-03
F75-43,The Fanghu Isle of the Immortals,1699,"Painting, Scroll",Hanging scroll; ink and color on silk,"Thisgiganticrockfloatingonachurningsearepresentsanotherworldlyrealm.AccordingtoDaoistscripture,theFanghu(SquareJar)isasacredislandoftheimmortalslocatedofftheeastcoastofChina.Noticethepalatialbuildings,verdantpineforest,andrestingcranes.Thesedetailssignallongevityandimmortality.Intheinscription,WangYunreferstohisDaoistfriendOldCrane,whomayhaveinstructedhimtopaintthisscene.",Image: 55 7/8 × 23 3/4 inches (141.92 × 60.33 cm)Mount: 116 7/8 × 31 3/8 inches (296.86 × 79.69 cm),The Nelson-Atkins Museum of Art,"Kansas City, United States",https://art.nelson-atkins.org/objects/406/the-fanghu-isle-of-the-immortals;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=1,https://art.nelson-atkins.org/internal/media/dispatcher/27683/full,images/nelson-atkins/F75-43.jpg,Purchase: acquired through the Fortieth Anniversary Fund,F75-43,2026-05-03
47-71,A Solitary Temple Amid Clearing Peaks,Northern Song dynasty (960-1127),"Scroll, Painting",Hanging scroll; ink and slight color on silk,"Everydetailinthispaintingspursvisualexcitement.AtravelerentersthewintrymountainsfromthelowerlefttoleadthevieweruptoaBuddhisttempleatopthehill.Thetemple’smulti-storiedpagodapointstothepeakandsky,signifyinggreatspiritualpower.Theimageryreflectsanancientworldviewthattheworldwascomposedofheaven,earth,andwater.Itwasbelievedthatmountainsconnectheavenandearth,servingasthesourceofcloudsandwater.Thislandscape’svariousvistasofnaturalandhumanelementsthereforereflecttheplaceofpeoplewithinthewideruniverse.","Image: 44 × 22 inches (111.76 × 55.88 cm)Overall (includes 1 1/2"" hanging string): 88 × 22 1/2 inches (223.52 × 57.15 cm)",The Nelson-Atkins Museum of Art,"Kansas City, United States",https://art.nelson-atkins.org/objects/641/a-solitary-temple-amid-clearing-peaks;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=2,https://art.nelson-atkins.org/internal/media/dispatcher/178383/full,images/nelson-atkins/47-71.jpg,Purchase: William Rockhill Nelson Trust,47-71,2026-05-03
F75-44,Stream and Rocks,16th century,"Scroll, Painting",Handscroll; ink and color on silk,"LuZhipaintedtheblue-and-greenlandscapeforhisfriendLuShen,representedasared-robedgentlemanmeditatinginatranquilsetting.LuShenwrotehisartist’sname,Xishi(streamandrocks),intwolargecharactersonthefrontispiece(thesectionofthescrollthatprecedesthepainting).Theirmentor,WenZhengming,addedaninscriptiononthecolophon(thesectionafterthepainting).Wenpraisesthepaintingandthelofty-mindedLuShen,whodevotedhimselftonatureratherthanseekingfameandfortune.Thecalligraphyofbothinscriptionsiswritteninthesquared-offstyleofclericalscript.",Overall: 12 5/8 × 128 inches (32.07 × 325.12 cm),The Nelson-Atkins Museum of Art,"Kansas City, United States",https://art.nelson-atkins.org/objects/837/stream-and-rocks;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=3,https://art.nelson-atkins.org/internal/media/dispatcher/37124/full,images/nelson-atkins/F75-44.jpg,Purchase: acquired through the Fortieth Anniversary Fund,F75-44,2026-05-03
60-36/11 C,Frontispiece of Luo Zhenyu (later commentator),1918,"Painting, Qing dynasty (1644-1911)",Album leaf; ink and watercolor on paper with silk mount,,Image: 9 5/8 x 17 3/4 inches (24.45 x 45.09 cm)Mount: 14 1/4 x 21 1/2 inches (36.2 x 54.61 cm),The Nelson-Atkins Museum of Art,"Kansas City, United States",https://art.nelson-atkins.org/objects/870/frontispiece-of-luo-zhenyu-later-commentator;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=4,https://art.nelson-atkins.org/internal/media/dispatcher/34629/full,images\nelson-atkins\4.jpg,Purchase: William Rockhill Nelson Trust,60-36/11 C,2026-05-03
59-24/31,Mountain Waterfalls,Qing dynasty (1644-1911),"Painting, Qing dynasty (1644-1911)",Album leaf; color and ink on paper,,Overall: 14 1/2 × 11 1/2 inches (36.83 × 29.21 cm),The Nelson-Atkins Museum of Art,"Kansas City, United States",https://art.nelson-atkins.org/objects/915/mountain-waterfalls;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=5,https://art.nelson-atkins.org/internal/media/dispatcher/34332/full,images\nelson-atkins\5.jpg,Purchase: William Rockhill Nelson Trust,59-24/31,2026-05-03
46-48,Old Cypress and Rock,1550,"Scroll, Painting",Handscroll; ink on paper,,Image: 10 1/4 × 19 1/4 inches (26.04 × 48.9 cm),The Nelson-Atkins Museum of Art,"Kansas City, United States",https://art.nelson-atkins.org/objects/1026/old-cypress-and-rock;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=6,https://art.nelson-atkins.org/internal/media/dispatcher/152075/full,images/nelson-atkins/46-48.jpg,Purchase: William Rockhill Nelson Trust,46-48,2026-05-03
33-8/3 A,Wild Goose on a Bank of Reeds,12th century,"Painting, Song dynasty (960-1279)",Fan mounted as album leaf; ink and color on silk,"ImagesofgeesearepopularinChineseart,asseeninthisrealisticallypaintedpictureofagooserestingonariverbank.Trustworthygeesebringseasonalmessagesfromthenorthtothesouth.Geeserepresentgoodfaithandorderlinessduetotheirregularmigrationsandorganizedflyingformations.",Overall: 9 1/4 × 8 5/8 inches (23.5 × 21.91 cm),The Nelson-Atkins Museum of Art,"Kansas City, United States",https://art.nelson-atkins.org/objects/1241/wild-goose-on-a-bank-of-reeds;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=7,https://art.nelson-atkins.org/internal/media/dispatcher/29075/full,images\nelson-atkins\7.jpg,Purchase: William Rockhill Nelson Trust,33-8/3 A,2026-05-03
F78-18/2,Spring Mountains,Qing dynasty (1644-1911),"Painting, Qing dynasty (1644-1911)",Album leaf; ink and watercolor with silk mount,"LiShizhuowasaManchuofficialwholearnedbrushworkfromcelebratedliteratiartistsofhisday.Hispaintingscontinuetheclassiclandscapetraditions,butatthesametime,theydemonstrateanindividualsensibilityinthedrybrushstrokesthatsculptthebouldersandcliffsandthefinelinesthatdescribethecurvilinearpatternsofcloudsandwater.Ingeneral,hisuseofcoloralsofollowsliteratitradition,whichemployeditsparingly,moretoaddemotionalintensitytoascenethantoenhanceitsdescriptivepurpose.Thebolduseofflameredinthepaintingofsunrise,however,isunprecedentedandseemstoreflectanewinterestinrepresentingmorerealisticallytheshiftingmoodsofnature.",Image: 9 1/2 × 5 3/4 inches (24.13 × 14.61 cm)Mount: 12 1/4 × 7 1/2 inches (31.12 × 19.05 cm),The Nelson-Atkins Museum of Art,"Kansas City, United States",https://art.nelson-atkins.org/objects/1321/spring-mountains;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=8,https://art.nelson-atkins.org/internal/media/dispatcher/33809/full,images\nelson-atkins\8.jpg,Purchase: acquired through the generosity of an anonymous donor,F78-18/2,2026-05-03
76-10/12,The Three Teachings,Ming dynasty (1368-1644),"Scroll, Painting",Hanging scroll; ink and color on silk,"Thepaintingportraysthethreefoundersofthesacredtripod:Shakyamuni(Buddhism)ontheleft,Confucius(Confucianism)inthemiddleandLaozi(Daoism)ontheright.Theywerenotcontemporaries,andthusthepaintingdefiestimeandspace.ItillustratesthenotionoftheharmonyoftheThreeTeachingssupportedbysomeliteratiandreligiousleaders.Standingclosely,thethreefoundersaredepictedashumansseeminglyengagedinanintimateconversation.Despitetheconcordantimage,opinionsvariedandpreferencesarose.Aformercollector,whoclaimedhimselfthedescendantofConfucius,wroteonthepainting’smount,likeningthethreefounderstothelegsofatripod,butdistinguishinghispreferenceforhisputativeancestor.",Overall: 57 3/4 × 29 inches (146.69 × 73.66 cm)Mount: 117 × 32 1/2 inches (297.18 × 82.55 cm),The Nelson-Atkins Museum of Art,"Kansas City, United States",https://art.nelson-atkins.org/objects/1349/the-three-teachings;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=9,https://art.nelson-atkins.org/internal/media/dispatcher/34632/full,images\nelson-atkins\9.jpg,"Gift of Bronson Trevor in honor of his father, John B. Trevor",76-10/12,2026-05-03
