object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,id
59-24/27,village with mountains in background,qing dynasty (1644-1911),"painting, qing dynasty (1644-1911)",album leaf; color and ink on paper,"likemanyofhiscontemporaries,gujianlong,learnedlandscapestylesfromoldmasters,ratherthandirectlydepictingscenesfromnature.thesetwosketchesfollowtheearlymasters'methodofdepictinglandscapesinmineralblueandgreen,yettheyrevealahighlevelofskillinthehandlingoftheinkandcolorwashesandbrushstrokes.",overall: 14 1/2 x 11 1/2 inches (36.83 x 29.21 cm),the nelson-atkins museum of art,"kansas city, united states",https://art.nelson-atkins.org/objects/130/village-with-mountains-in-background;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=0,https://art.nelson-atkins.org/internal/media/dispatcher/34328/full,images\nelson-atkins\0.jpg,purchase: william rockhill nelson trust,59-24/27,2026-05-03,1
F75-43,the fanghu isle of the immortals,1699,"painting, scroll",hanging scroll; ink and color on silk,"thisgiganticrockfloatingonachurningsearepresentsanotherworldlyrealm.accordingtodaoistscripture,thefanghu(squarejar)isasacredislandoftheimmortalslocatedofftheeastcoastofchina.noticethepalatialbuildings,verdantpineforest,andrestingcranes.thesedetailssignallongevityandimmortality.intheinscription,wangyunreferstohisdaoistfriendoldcrane,whomayhaveinstructedhimtopaintthisscene.",image: 55 7/8 × 23 3/4 inches (141.92 × 60.33 cm)mount: 116 7/8 × 31 3/8 inches (296.86 × 79.69 cm),the nelson-atkins museum of art,"kansas city, united states",https://art.nelson-atkins.org/objects/406/the-fanghu-isle-of-the-immortals;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=1,https://art.nelson-atkins.org/internal/media/dispatcher/27683/full,images/nelson-atkins/F75-43.jpg,purchase: acquired through the fortieth anniversary fund,f75-43,2026-05-03,2
47-71,a solitary temple amid clearing peaks,northern song dynasty (960-1127),"scroll, painting",hanging scroll; ink and slight color on silk,"everydetailinthispaintingspursvisualexcitement.atravelerentersthewintrymountainsfromthelowerlefttoleadthevieweruptoabuddhisttempleatopthehill.thetemple’smulti-storiedpagodapointstothepeakandsky,signifyinggreatspiritualpower.theimageryreflectsanancientworldviewthattheworldwascomposedofheaven,earth,andwater.itwasbelievedthatmountainsconnectheavenandearth,servingasthesourceofcloudsandwater.thislandscape’svariousvistasofnaturalandhumanelementsthereforereflecttheplaceofpeoplewithinthewideruniverse.","image: 44 × 22 inches (111.76 × 55.88 cm)overall (includes 1 1/2"" hanging string): 88 × 22 1/2 inches (223.52 × 57.15 cm)",the nelson-atkins museum of art,"kansas city, united states",https://art.nelson-atkins.org/objects/641/a-solitary-temple-amid-clearing-peaks;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=2,https://art.nelson-atkins.org/internal/media/dispatcher/178383/full,images/nelson-atkins/47-71.jpg,purchase: william rockhill nelson trust,47-71,2026-05-03,3
F75-44,stream and rocks,16th century,"scroll, painting",handscroll; ink and color on silk,"luzhipaintedtheblue-and-greenlandscapeforhisfriendlushen,representedasared-robedgentlemanmeditatinginatranquilsetting.lushenwrotehisartist’sname,xishi(streamandrocks),intwolargecharactersonthefrontispiece(thesectionofthescrollthatprecedesthepainting).theirmentor,wenzhengming,addedaninscriptiononthecolophon(thesectionafterthepainting).wenpraisesthepaintingandthelofty-mindedlushen,whodevotedhimselftonatureratherthanseekingfameandfortune.thecalligraphyofbothinscriptionsiswritteninthesquared-offstyleofclericalscript.",overall: 12 5/8 × 128 inches (32.07 × 325.12 cm),the nelson-atkins museum of art,"kansas city, united states",https://art.nelson-atkins.org/objects/837/stream-and-rocks;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=3,https://art.nelson-atkins.org/internal/media/dispatcher/37124/full,images/nelson-atkins/F75-44.jpg,purchase: acquired through the fortieth anniversary fund,f75-44,2026-05-03,4
60-36/11 C,frontispiece of luo zhenyu (later commentator),1918,"painting, qing dynasty (1644-1911)",album leaf; ink and watercolor on paper with silk mount,unknown,image: 9 5/8 x 17 3/4 inches (24.45 x 45.09 cm)mount: 14 1/4 x 21 1/2 inches (36.2 x 54.61 cm),the nelson-atkins museum of art,"kansas city, united states",https://art.nelson-atkins.org/objects/870/frontispiece-of-luo-zhenyu-later-commentator;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=4,https://art.nelson-atkins.org/internal/media/dispatcher/34629/full,images\nelson-atkins\4.jpg,purchase: william rockhill nelson trust,60-36/11 c,2026-05-03,5
59-24/31,mountain waterfalls,qing dynasty (1644-1911),"painting, qing dynasty (1644-1911)",album leaf; color and ink on paper,unknown,overall: 14 1/2 × 11 1/2 inches (36.83 × 29.21 cm),the nelson-atkins museum of art,"kansas city, united states",https://art.nelson-atkins.org/objects/915/mountain-waterfalls;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=5,https://art.nelson-atkins.org/internal/media/dispatcher/34332/full,images\nelson-atkins\5.jpg,purchase: william rockhill nelson trust,59-24/31,2026-05-03,6
46-48,old cypress and rock,1550,"scroll, painting",handscroll; ink on paper,unknown,image: 10 1/4 × 19 1/4 inches (26.04 × 48.9 cm),the nelson-atkins museum of art,"kansas city, united states",https://art.nelson-atkins.org/objects/1026/old-cypress-and-rock;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=6,https://art.nelson-atkins.org/internal/media/dispatcher/152075/full,images/nelson-atkins/46-48.jpg,purchase: william rockhill nelson trust,46-48,2026-05-03,7
33-8/3 A,wild goose on a bank of reeds,12th century,"painting, song dynasty (960-1279)",fan mounted as album leaf; ink and color on silk,"imagesofgeesearepopularinchineseart,asseeninthisrealisticallypaintedpictureofagooserestingonariverbank.trustworthygeesebringseasonalmessagesfromthenorthtothesouth.geeserepresentgoodfaithandorderlinessduetotheirregularmigrationsandorganizedflyingformations.",overall: 9 1/4 × 8 5/8 inches (23.5 × 21.91 cm),the nelson-atkins museum of art,"kansas city, united states",https://art.nelson-atkins.org/objects/1241/wild-goose-on-a-bank-of-reeds;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=7,https://art.nelson-atkins.org/internal/media/dispatcher/29075/full,images\nelson-atkins\7.jpg,purchase: william rockhill nelson trust,33-8/3 a,2026-05-03,8
F78-18/2,spring mountains,qing dynasty (1644-1911),"painting, qing dynasty (1644-1911)",album leaf; ink and watercolor with silk mount,"lishizhuowasamanchuofficialwholearnedbrushworkfromcelebratedliteratiartistsofhisday.hispaintingscontinuetheclassiclandscapetraditions,butatthesametime,theydemonstrateanindividualsensibilityinthedrybrushstrokesthatsculptthebouldersandcliffsandthefinelinesthatdescribethecurvilinearpatternsofcloudsandwater.ingeneral,hisuseofcoloralsofollowsliteratitradition,whichemployeditsparingly,moretoaddemotionalintensitytoascenethantoenhanceitsdescriptivepurpose.thebolduseofflameredinthepaintingofsunrise,however,isunprecedentedandseemstoreflectanewinterestinrepresentingmorerealisticallytheshiftingmoodsofnature.",image: 9 1/2 × 5 3/4 inches (24.13 × 14.61 cm)mount: 12 1/4 × 7 1/2 inches (31.12 × 19.05 cm),the nelson-atkins museum of art,"kansas city, united states",https://art.nelson-atkins.org/objects/1321/spring-mountains;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=8,https://art.nelson-atkins.org/internal/media/dispatcher/33809/full,images\nelson-atkins\8.jpg,purchase: acquired through the generosity of an anonymous donor,f78-18/2,2026-05-03,9
76-10/12,the three teachings,ming dynasty (1368-1644),"scroll, painting",hanging scroll; ink and color on silk,"thepaintingportraysthethreefoundersofthesacredtripod:shakyamuni(buddhism)ontheleft,confucius(confucianism)inthemiddleandlaozi(daoism)ontheright.theywerenotcontemporaries,andthusthepaintingdefiestimeandspace.itillustratesthenotionoftheharmonyofthethreeteachingssupportedbysomeliteratiandreligiousleaders.standingclosely,thethreefoundersaredepictedashumansseeminglyengagedinanintimateconversation.despitetheconcordantimage,opinionsvariedandpreferencesarose.aformercollector,whoclaimedhimselfthedescendantofconfucius,wroteonthepainting’smount,likeningthethreefounderstothelegsofatripod,butdistinguishinghispreferenceforhisputativeancestor.",overall: 57 3/4 × 29 inches (146.69 × 73.66 cm)mount: 117 × 32 1/2 inches (297.18 × 82.55 cm),the nelson-atkins museum of art,"kansas city, united states",https://art.nelson-atkins.org/objects/1349/the-three-teachings;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=9,https://art.nelson-atkins.org/internal/media/dispatcher/34632/full,images\nelson-atkins\9.jpg,"gift of bronson trevor in honor of his father, john b. trevor",76-10/12,2026-05-03,10
